Summary,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
19,23.889,0.49,21.0,319.0,11.0,1015.0
17,23.761,0.39,23.0,310.0,11.0,1015.0
17,24.883,0.33,22.0,310.0,11.0,1015.0
17,25.878,0.29,21.0,329.0,10.0,1015.0
19,24.728,0.33,24.0,320.0,10.0,1015.0
19,22.711,0.38,24.0,319.0,10.0,1015.0
19,22.178,0.43,13.0,329.0,10.0,1016.0
19,20.15,0.46,14.0,327.0,10.0,1016.0
19,18.917,0.52,11.0,328.0,10.0,1016.0
17,19.378,0.5,11.0,311.0,16.0,1016.0
17,18.144,0.54,11.0,310.0,15.0,1017.0
17,15.672,0.62,11.0,329.0,16.0,1016.0
17,14.656,0.66,11.0,339.0,16.0,1016.0
18,13.75,0.78,13.0,288.0,15.0,1013.0
17,14.606,0.67,11.0,338.0,16.0,1016.0
17,15.533,0.61,7.0,346.0,16.0,1016.0
17,15.111,0.67,10.0,331.0,15.0,1017.0
18,13.983,0.82,8.0,347.0,11.0,1016.0
17,15.072,0.77,5.0,350.0,11.0,1016.0
18,15.111,0.77,9.0,344.0,11.0,1015.0
18,15.094,0.77,11.0,321.0,11.0,1016.0
18,16.161,0.71,10.0,329.0,11.0,1016.0
18,17.056,0.69,13.0,338.0,11.0,1016.0
18,16.211,0.77,12.0,328.0,11.0,1016.0
18,16.161,0.72,14.0,319.0,11.0,1016.0
18,16.961,0.74,12.0,343.0,11.0,1016.0
18,17.2,0.67,20.0,320.0,11.0,1016.0
18,17.15,0.64,17.0,340.0,11.0,1015.0
18,16.228,0.64,15.0,339.0,11.0,1015.0
18,16.178,0.67,15.0,321.0,11.0,1015.0
18,16.083,0.72,12.0,310.0,11.0,1015.0
18,15.067,0.73,11.0,302.0,11.0,1015.0
18,15.0,0.78,13.0,310.0,11.0,1015.0
18,14.422,0.77,11.0,319.0,16.0,1015.0
18,14.372,0.83,7.0,302.0,15.0,1015.0
18,13.889,0.83,7.0,290.0,16.0,1014.0
18,13.889,0.78,14.0,290.0,16.0,1014.0
18,14.383,0.92,7.0,306.0,8.0,1011.0
18,13.311,0.87,11.0,301.0,16.0,1012.0
18,13.311,0.9,11.0,292.0,15.0,1012.0
18,13.311,0.91,11.0,289.0,12.0,1011.0
18,12.778,0.95,15.0,283.0,11.0,1010.0
18,12.778,0.95,15.0,301.0,11.0,1010.0
18,12.872,0.96,11.0,287.0,11.0,1009.0
18,12.778,0.96,14.0,292.0,11.0,1009.0
18,13.794,0.9,13.0,282.0,11.0,1008.0
18,13.856,0.91,10.0,264.0,11.0,1008.0
18,13.867,0.9,7.0,217.0,11.0,1008.0
19,15.928,0.82,8.0,193.0,11.0,1008.0
19,15.956,0.8,10.0,208.0,11.0,1008.0
17,17.067,0.73,11.0,168.0,11.0,1008.0
19,17.156,0.73,8.0,168.0,11.0,1008.0
19,17.656,0.71,8.0,150.0,11.0,1008.0
19,17.178,0.73,5.0,144.0,11.0,1008.0
19,17.2,0.73,4.0,60.0,11.0,1009.0
17,16.156,0.78,5.0,11.0,11.0,1009.0
17,15.972,0.79,10.0,19.0,10.0,1010.0
18,15.439,0.85,6.0,26.0,16.0,1010.0
18,14.889,0.91,6.0,348.0,15.0,1010.0
18,14.906,0.9,3.0,27.0,16.0,1011.0
17,14.906,0.9,4.0,343.0,11.0,1010.0
12,14.506,0.93,7.0,318.0,1.0,1009.0
18,14.467,0.93,7.0,274.0,8.0,1010.0
18,13.961,0.93,15.0,301.0,8.0,1009.0
18,14.028,0.94,4.0,180.0,11.0,1009.0
18,14.006,0.93,4.0,245.0,11.0,1008.0
17,14.006,0.93,8.0,231.0,11.0,1009.0
17,15.161,0.89,10.0,172.0,11.0,1008.0
17,17.178,0.82,8.0,220.0,11.0,1008.0
17,17.222,0.82,10.0,232.0,11.0,1009.0
17,17.839,0.79,9.0,203.0,11.0,1009.0
19,19.811,0.65,10.0,209.0,11.0,1009.0
19,19.772,0.7,8.0,211.0,11.0,1008.0
17,20.767,0.65,8.0,222.0,11.0,1009.0
19,20.789,0.62,8.0,261.0,11.0,1008.0
17,20.789,0.65,9.0,232.0,11.0,1008.0
17,19.967,0.72,8.0,251.0,11.0,1008.0
17,18.75,0.85,12.0,329.0,11.0,1008.0
19,17.733,0.9,9.0,341.0,11.0,1009.0
19,17.461,0.87,4.0,3.0,11.0,1009.0
19,15.017,0.88,3.0,9.0,8.0,1009.0
19,15.017,0.93,6.0,37.0,8.0,1009.0
19,15.606,0.93,6.0,35.0,9.0,1009.0
12,14.044,0.93,4.0,330.0,0.0,1009.0
12,14.006,0.93,5.0,328.0,0.0,1009.0
17,16.372,0.93,6.0,337.0,9.0,1008.0
12,15.05,0.93,9.0,330.0,0.0,1009.0
12,15.028,0.96,11.0,320.0,0.0,1008.0
12,15.622,0.92,7.0,279.0,1.0,1008.0
18,16.111,0.93,11.0,233.0,5.0,1009.0
17,16.133,0.93,10.0,272.0,5.0,1008.0
18,16.044,0.94,10.0,273.0,5.0,1008.0
18,17.344,0.93,8.0,301.0,8.0,1008.0
17,20.05,0.84,11.0,311.0,11.0,1008.0
17,20.894,0.75,11.0,311.0,11.0,1008.0
17,21.3,0.78,9.0,277.0,11.0,1007.0
17,22.389,0.67,5.0,302.0,11.0,1007.0
19,23.656,0.63,7.0,31.0,11.0,1007.0
19,24.006,0.65,10.0,21.0,11.0,1007.0
19,25.022,0.58,14.0,11.0,11.0,1007.0
19,24.6,0.64,11.0,47.0,11.0,1006.0
17,23.639,0.67,11.0,56.0,11.0,1007.0
17,22.778,0.67,4.0,23.0,11.0,1006.0
17,21.844,0.76,5.0,347.0,11.0,1007.0
19,19.928,0.84,2.0,18.0,11.0,1007.0
17,19.328,0.87,3.0,277.0,16.0,1007.0
19,18.656,0.88,6.0,1.0,15.0,1007.0
17,17.756,0.9,6.0,320.0,15.0,1007.0
17,17.756,0.9,11.0,339.0,10.0,1007.0
19,18.078,0.91,13.0,347.0,15.0,1010.0
17,17.222,0.93,11.0,339.0,10.0,1007.0
17,17.222,0.93,7.0,337.0,10.0,1007.0
18,17.194,0.94,5.0,318.0,10.0,1007.0
18,17.733,0.93,3.0,50.0,3.0,1008.0
17,17.756,0.97,5.0,349.0,3.0,1008.0
17,18.667,0.91,10.0,333.0,7.0,1008.0
17,19.906,0.87,11.0,331.0,7.0,1008.0
17,19.928,0.85,9.0,322.0,11.0,1008.0
17,20.139,0.85,9.0,307.0,11.0,1009.0
17,21.3,0.8,15.0,322.0,11.0,1009.0
19,22.872,0.73,13.0,352.0,11.0,1009.0
17,24.767,0.7,12.0,319.0,11.0,1009.0
19,25.072,0.62,13.0,343.0,11.0,1009.0
19,26.111,0.58,14.0,344.0,11.0,1009.0
19,26.978,0.53,15.0,339.0,11.0,1008.0
19,26.083,0.58,14.0,11.0,11.0,1008.0
19,25.0,0.55,17.0,19.0,11.0,1009.0
19,22.417,0.73,10.0,345.0,11.0,1009.0
19,20.039,0.84,5.0,311.0,11.0,1009.0
19,19.972,0.84,4.0,342.0,16.0,1010.0
19,21.339,0.82,10.0,353.0,15.0,1010.0
19,20.483,0.84,11.0,1.0,16.0,1010.0
19,19.444,0.84,11.0,351.0,16.0,1010.0
6,19.35,0.82,10.0,14.0,15.0,1014.0
17,18.794,0.87,14.0,0.0,16.0,1011.0
19,18.283,0.9,14.0,358.0,16.0,1011.0
19,17.372,0.9,11.0,347.0,15.0,1011.0
19,17.244,0.93,10.0,340.0,10.0,1011.0
19,19.911,0.84,15.0,359.0,10.0,1011.0
19,21.033,0.8,15.0,18.0,10.0,1011.0
19,22.733,0.71,20.0,40.0,11.0,1011.0
19,23.939,0.66,18.0,31.0,11.0,1012.0
19,24.867,0.63,20.0,18.0,11.0,1012.0
19,27.2,0.54,20.0,11.0,11.0,1012.0
19,27.711,0.5,22.0,39.0,11.0,1012.0
19,27.683,0.47,21.0,28.0,11.0,1012.0
19,27.8,0.46,22.0,30.0,11.0,1012.0
19,29.839,0.41,20.0,21.0,10.0,1012.0
19,27.9,0.46,20.0,36.0,10.0,1012.0
19,27.311,0.53,20.0,22.0,10.0,1012.0
19,27.267,0.54,14.0,31.0,10.0,1012.0
19,25.1,0.62,11.0,26.0,10.0,1013.0
19,22.706,0.67,8.0,56.0,10.0,1014.0
19,22.033,0.67,6.0,26.0,16.0,1014.0
19,20.95,0.75,10.0,25.0,15.0,1014.0
19,19.422,0.84,7.0,11.0,16.0,1015.0
19,19.35,0.84,11.0,0.0,16.0,1015.0
6,16.261,0.85,8.0,345.0,15.0,1016.0
6,18.261,0.84,11.0,39.0,15.0,1015.0
6,18.144,0.84,14.0,30.0,15.0,1015.0
6,17.639,0.88,11.0,10.0,14.0,1015.0
6,17.689,0.9,8.0,21.0,10.0,1016.0
6,18.85,0.84,11.0,30.0,10.0,1016.0
6,21.917,0.75,13.0,21.0,10.0,1016.0
6,23.8,0.66,12.0,39.0,10.0,1016.0
6,24.978,0.58,13.0,29.0,10.0,1016.0
6,27.072,0.51,12.0,12.0,10.0,1016.0
19,27.778,0.46,14.0,39.0,10.0,1016.0
19,28.817,0.4,16.0,1.0,10.0,1016.0
19,29.761,0.37,14.0,23.0,10.0,1016.0
19,29.861,0.34,14.0,11.0,10.0,1015.0
19,29.856,0.35,16.0,1.0,10.0,1015.0
19,28.861,0.36,14.0,0.0,10.0,1015.0
19,28.839,0.36,16.0,351.0,10.0,1015.0
19,27.706,0.38,12.0,1.0,10.0,1015.0
19,24.122,0.48,9.0,359.0,10.0,1015.0
19,21.083,0.63,8.0,340.0,10.0,1016.0
6,19.906,0.69,6.0,339.0,16.0,1016.0
6,18.556,0.74,6.0,355.0,16.0,1017.0
6,17.689,0.78,6.0,330.0,16.0,1017.0
6,16.622,0.84,3.0,327.0,16.0,1017.0
6,17.239,0.8,4.0,335.0,15.0,1018.0
6,15.444,0.87,6.0,348.0,16.0,1017.0
6,14.911,0.87,6.0,340.0,16.0,1016.0
19,15.161,0.86,6.0,348.0,15.0,1017.0
19,16.072,0.87,3.0,319.0,10.0,1017.0
19,18.711,0.79,5.0,330.0,10.0,1017.0
6,22.517,0.63,5.0,43.0,10.0,1017.0
6,24.911,0.55,5.0,18.0,10.0,1017.0
6,27.178,0.47,11.0,20.0,10.0,1017.0
19,27.739,0.4,11.0,6.0,10.0,1017.0
19,28.867,0.37,14.0,2.0,10.0,1017.0
19,29.883,0.32,14.0,342.0,10.0,1017.0
19,29.922,0.34,13.0,4.0,10.0,1017.0
19,29.95,0.31,12.0,0.0,10.0,1016.0
19,29.95,0.31,14.0,19.0,10.0,1016.0
19,29.911,0.3,12.0,27.0,10.0,1016.0
19,29.95,0.29,11.0,29.0,10.0,1016.0
19,28.839,0.37,8.0,330.0,10.0,1016.0
19,25.228,0.46,9.0,330.0,10.0,1016.0
19,22.756,0.54,3.0,350.0,10.0,1017.0
19,21.528,0.63,3.0,328.0,16.0,1017.0
6,20.033,0.72,3.0,351.0,15.0,1017.0
6,22.022,0.54,14.0,100.0,16.0,1015.0
19,21.439,0.53,11.0,101.0,16.0,1015.0
19,19.344,0.71,9.0,125.0,15.0,1011.0
19,17.733,0.74,5.0,85.0,16.0,1015.0
19,16.183,0.81,2.0,130.0,16.0,1014.0
19,15.356,0.82,5.0,314.0,15.0,1015.0
19,17.128,0.81,0.0,40.0,10.0,1014.0
19,20.911,0.59,10.0,52.0,10.0,1014.0
19,23.444,0.5,8.0,83.0,10.0,1014.0
6,25.006,0.45,9.0,120.0,10.0,1014.0
19,26.161,0.39,9.0,63.0,10.0,1014.0
19,27.644,0.36,11.0,124.0,10.0,1014.0
19,28.889,0.36,9.0,84.0,10.0,1014.0
19,30.05,0.34,5.0,178.0,10.0,1013.0
19,29.906,0.32,5.0,178.0,10.0,1013.0
19,31.061,0.32,5.0,131.0,10.0,1012.0
19,31.133,0.32,8.0,151.0,10.0,1012.0
19,30.111,0.34,10.0,137.0,11.0,1011.0
19,30.044,0.34,8.0,197.0,10.0,1011.0
19,29.006,0.37,8.0,151.0,10.0,1010.0
6,26.389,0.48,8.0,151.0,10.0,1010.0
19,22.917,0.57,11.0,160.0,10.0,1010.0
19,22.733,0.59,6.0,161.0,16.0,1011.0
19,20.472,0.68,4.0,176.0,15.0,1011.0
19,18.333,0.79,3.0,346.0,16.0,1018.0
6,17.733,0.82,3.0,7.0,16.0,1018.0
6,17.078,0.86,6.0,347.0,15.0,1019.0
6,16.6,0.84,3.0,313.0,16.0,1018.0
6,16.139,0.87,3.0,335.0,16.0,1018.0
19,15.8,0.9,6.0,341.0,15.0,1018.0
19,17.083,0.82,3.0,347.0,10.0,1018.0
19,21.856,0.74,1.0,46.0,10.0,1018.0
19,25.394,0.54,1.0,356.0,10.0,1018.0
19,26.967,0.52,4.0,238.0,10.0,1018.0
19,28.75,0.41,5.0,337.0,10.0,1018.0
19,29.789,0.41,5.0,347.0,10.0,1019.0
19,30.928,0.36,10.0,339.0,10.0,1019.0
17,30.022,0.35,10.0,339.0,10.0,1019.0
17,30.972,0.35,8.0,338.0,10.0,1018.0
19,30.994,0.35,11.0,322.0,11.0,1018.0
19,30.928,0.39,13.0,330.0,11.0,1018.0
19,26.928,0.42,15.0,7.0,11.0,1018.0
17,27.872,0.4,11.0,39.0,10.0,1018.0
17,27.244,0.42,8.0,350.0,10.0,1018.0
17,24.161,0.61,2.0,343.0,10.0,1018.0
19,22.267,0.69,3.0,208.0,10.0,1019.0
19,21.111,0.72,3.0,190.0,16.0,1019.0
19,20.111,0.78,6.0,342.0,15.0,1019.0
6,18.378,0.84,3.0,320.0,16.0,1019.0
6,18.894,0.79,3.0,267.0,16.0,1019.0
6,21.339,0.67,9.0,72.0,15.0,1019.0
6,16.256,0.87,6.0,330.0,16.0,1019.0
19,16.694,0.9,6.0,340.0,15.0,1019.0
19,17.2,0.93,4.0,19.0,12.0,1019.0
19,17.689,0.9,2.0,50.0,10.0,1019.0
6,20.911,0.8,6.0,350.0,10.0,1019.0
19,23.628,0.7,6.0,57.0,10.0,1019.0
19,26.061,0.6,2.0,103.0,10.0,1016.0
19,27.7,0.49,8.0,79.0,10.0,1016.0
19,29.667,0.39,8.0,97.0,10.0,1020.0
19,29.9,0.35,13.0,60.0,11.0,1016.0
19,30.961,0.33,10.0,52.0,11.0,1019.0
19,31.078,0.33,5.0,29.0,10.0,1019.0
19,31.061,0.32,13.0,70.0,10.0,1018.0
19,30.911,0.33,7.0,323.0,10.0,1018.0
19,30.928,0.33,8.0,33.0,10.0,1017.0
19,30.878,0.34,10.0,41.0,10.0,1017.0
17,28.7,0.39,13.0,40.0,10.0,1017.0
17,26.15,0.46,10.0,64.0,10.0,1018.0
17,23.678,0.56,8.0,60.0,10.0,1018.0
19,24.656,0.52,11.0,71.0,16.0,1018.0
6,22.917,0.58,11.0,64.0,15.0,1019.0
19,19.994,0.7,3.0,152.0,16.0,1010.0
19,19.417,0.73,3.0,152.0,16.0,1010.0
17,19.122,0.68,8.0,271.0,15.0,1012.0
19,18.378,0.68,6.0,149.0,16.0,1009.0
19,18.844,0.66,11.0,149.0,16.0,1008.0
19,17.928,0.73,10.0,171.0,15.0,1008.0
19,17.733,0.78,9.0,171.0,10.0,1008.0
17,22.106,0.6,14.0,233.0,10.0,1008.0
17,23.628,0.56,24.0,298.0,10.0,1008.0
17,24.839,0.59,27.0,301.0,11.0,1009.0
3,25.95,0.55,29.0,309.0,11.0,1009.0
19,26.006,0.55,23.0,299.0,11.0,1009.0
17,27.061,0.48,29.0,300.0,11.0,1010.0
17,26.111,0.47,27.0,300.0,11.0,1010.0
17,27.439,0.44,29.0,311.0,11.0,1010.0
3,27.128,0.42,30.0,310.0,11.0,1010.0
19,27.778,0.4,28.0,310.0,11.0,1009.0
19,27.667,0.4,24.0,318.0,11.0,1010.0
19,27.172,0.41,27.0,301.0,11.0,1010.0
19,26.039,0.42,24.0,311.0,10.0,1010.0
19,23.961,0.5,14.0,318.0,10.0,1011.0
17,22.756,0.53,15.0,309.0,10.0,1012.0
17,22.083,0.56,14.0,319.0,16.0,1012.0
19,20.994,0.6,13.0,325.0,15.0,1012.0
17,20.972,0.6,15.0,311.0,16.0,1012.0
17,19.394,0.68,11.0,282.0,16.0,1013.0
6,14.567,0.69,11.0,303.0,15.0,1014.0
17,17.8,0.73,11.0,309.0,16.0,1013.0
19,17.289,0.75,14.0,300.0,16.0,1012.0
19,17.006,0.78,11.0,278.0,15.0,1013.0
17,17.778,0.73,11.0,291.0,10.0,1013.0
17,18.817,0.65,14.0,300.0,10.0,1013.0
17,20.011,0.63,15.0,305.0,10.0,1013.0
17,21.117,0.57,15.0,290.0,10.0,1013.0
19,22.711,0.51,18.0,282.0,11.0,1013.0
19,25.45,0.37,22.0,306.0,10.0,1013.0
19,26.039,0.31,27.0,301.0,10.0,1012.0
19,27.083,0.27,26.0,300.0,10.0,1012.0
19,27.394,0.27,24.0,309.0,10.0,1012.0
19,27.589,0.27,26.0,292.0,10.0,1011.0
19,27.661,0.27,25.0,310.0,10.0,1011.0
19,27.067,0.29,24.0,305.0,10.0,1011.0
19,26.061,0.27,27.0,309.0,10.0,1011.0
19,24.689,0.3,26.0,302.0,10.0,1011.0
19,23.711,0.34,12.0,307.0,10.0,1011.0
19,17.883,0.47,11.0,329.0,10.0,1012.0
19,17.267,0.51,11.0,300.0,16.0,1013.0
19,15.894,0.58,14.0,280.0,15.0,1013.0
19,15.028,0.61,11.0,290.0,16.0,1014.0
6,14.428,0.65,11.0,290.0,16.0,1014.0
19,18.106,0.59,13.0,175.0,15.0,1013.0
6,15.333,0.61,11.0,320.0,16.0,1014.0
19,13.178,0.73,11.0,291.0,16.0,1014.0
19,12.872,0.73,5.0,291.0,15.0,1014.0
19,13.761,0.73,3.0,310.0,10.0,1015.0
19,17.556,0.61,13.0,320.0,10.0,1015.0
19,20.789,0.51,13.0,322.0,10.0,1015.0
19,22.733,0.44,14.0,338.0,10.0,1015.0
19,23.861,0.37,13.0,300.0,10.0,1015.0
19,24.906,0.35,13.0,343.0,10.0,1015.0
19,27.106,0.3,10.0,327.0,10.0,1015.0
19,27.172,0.29,13.0,319.0,10.0,1014.0
19,27.567,0.27,9.0,337.0,10.0,1014.0
19,27.822,0.27,12.0,262.0,10.0,1014.0
19,27.8,0.27,9.0,242.0,10.0,1013.0
19,28.778,0.28,10.0,235.0,10.0,1013.0
19,27.822,0.28,8.0,193.0,10.0,1012.0
19,27.244,0.34,11.0,172.0,10.0,1012.0
19,24.217,0.44,8.0,169.0,10.0,1012.0
19,21.2,0.57,5.0,169.0,10.0,1012.0
19,21.017,0.54,6.0,159.0,16.0,1013.0
6,19.189,0.6,7.0,153.0,15.0,1013.0
19,17.839,0.67,11.0,150.0,16.0,1013.0
19,18.328,0.61,11.0,151.0,16.0,1013.0
17,19.661,0.72,21.0,318.0,15.0,1011.0
19,17.822,0.63,11.0,189.0,16.0,1012.0
19,17.311,0.65,14.0,152.0,16.0,1012.0
17,16.833,0.68,11.0,141.0,15.0,1012.0
19,17.156,0.68,12.0,141.0,11.0,1012.0
19,18.867,0.62,12.0,151.0,11.0,1011.0
19,22.072,0.54,15.0,161.0,11.0,1011.0
19,24.933,0.45,16.0,180.0,10.0,1011.0
19,26.111,0.44,14.0,190.0,11.0,1011.0
19,29.589,0.42,12.0,181.0,10.0,1011.0
19,31.067,0.38,14.0,209.0,10.0,1010.0
19,32.2,0.35,14.0,210.0,10.0,1010.0
19,33.472,0.33,17.0,225.0,10.0,1009.0
19,33.794,0.32,14.0,212.0,10.0,1008.0
19,33.867,0.32,17.0,192.0,10.0,1008.0
19,32.806,0.34,18.0,181.0,12.0,1007.0
19,32.8,0.32,17.0,180.0,10.0,1006.0
19,31.061,0.38,11.0,170.0,11.0,1006.0
19,28.883,0.44,7.0,166.0,11.0,1005.0
19,27.378,0.48,16.0,168.0,11.0,1005.0
17,26.778,0.52,13.0,179.0,16.0,1005.0
19,25.722,0.55,15.0,200.0,15.0,1006.0
19,22.589,0.69,20.0,7.0,16.0,1007.0
19,20.833,0.81,20.0,339.0,16.0,1009.0
19,14.7,0.87,8.0,294.0,15.0,1015.0
18,17.106,0.9,11.0,299.0,16.0,1011.0
17,16.067,0.87,11.0,309.0,16.0,1011.0
17,16.156,0.88,17.0,311.0,15.0,1012.0
17,16.089,0.81,14.0,309.0,10.0,1012.0
17,17.156,0.76,14.0,309.0,10.0,1012.0
19,17.65,0.79,14.0,318.0,11.0,1013.0
19,20.994,0.68,13.0,292.0,10.0,1012.0
19,22.156,0.55,16.0,309.0,10.0,1013.0
19,21.0,0.61,13.0,279.0,11.0,1013.0
19,22.822,0.57,14.0,244.0,11.0,1013.0
19,25.9,0.4,18.0,329.0,10.0,1013.0
19,25.761,0.37,13.0,344.0,11.0,1012.0
19,26.917,0.33,16.0,347.0,10.0,1012.0
17,26.917,0.3,21.0,319.0,10.0,1012.0
19,26.783,0.31,20.0,327.0,10.0,1012.0
19,24.883,0.34,22.0,328.0,10.0,1012.0
19,22.706,0.42,21.0,319.0,10.0,1012.0
17,21.144,0.52,18.0,320.0,10.0,1013.0
17,19.789,0.62,15.0,319.0,10.0,1013.0
17,19.217,0.66,17.0,309.0,16.0,1014.0
17,17.667,0.7,12.0,303.0,15.0,1014.0
19,15.994,0.81,11.0,309.0,16.0,1015.0
19,15.972,0.79,14.0,309.0,16.0,1015.0
17,17.672,0.63,13.0,273.0,15.0,1017.0
19,13.356,0.9,11.0,281.0,16.0,1015.0
19,13.333,0.86,11.0,289.0,16.0,1015.0
19,12.522,0.9,8.0,276.0,15.0,1016.0
19,14.883,0.78,14.0,300.0,10.0,1016.0
19,17.083,0.72,20.0,309.0,10.0,1016.0
19,19.617,0.59,17.0,319.0,10.0,1017.0
19,22.017,0.5,27.0,310.0,10.0,1017.0
19,23.706,0.39,26.0,328.0,10.0,1017.0
19,23.711,0.39,25.0,301.0,10.0,1017.0
19,24.906,0.34,28.0,319.0,10.0,1016.0
5,24.906,0.31,30.0,301.0,10.0,1016.0
19,25.867,0.3,23.0,317.0,10.0,1016.0
19,25.994,0.3,24.0,319.0,10.0,1015.0
5,26.061,0.28,30.0,301.0,10.0,1015.0
19,25.917,0.28,22.0,304.0,10.0,1015.0
19,24.906,0.32,22.0,301.0,10.0,1015.0
19,24.856,0.32,15.0,301.0,10.0,1015.0
19,22.361,0.39,11.0,324.0,10.0,1015.0
17,17.983,0.56,11.0,329.0,10.0,1015.0
17,18.889,0.51,7.0,326.0,16.0,1016.0
17,18.178,0.57,10.0,342.0,15.0,1016.0
17,19.778,0.69,6.0,78.0,16.0,1013.0
17,17.689,0.81,3.0,222.0,16.0,1014.0
6,15.144,0.77,10.0,29.0,15.0,1015.0
18,18.739,0.78,3.0,182.0,16.0,1013.0
17,17.628,0.81,11.0,252.0,16.0,1014.0
17,17.717,0.78,5.0,266.0,15.0,1014.0
17,17.65,0.78,5.0,236.0,11.0,1014.0
17,19.8,0.69,5.0,273.0,10.0,1014.0
17,21.844,0.66,6.0,265.0,10.0,1014.0
17,23.75,0.58,11.0,281.0,10.0,1014.0
17,26.972,0.39,12.0,281.0,10.0,1014.0
17,27.083,0.41,8.0,272.0,10.0,1014.0
17,27.444,0.42,9.0,13.0,10.0,1014.0
17,28.606,0.34,4.0,98.0,10.0,1014.0
17,28.567,0.35,3.0,57.0,10.0,1014.0
17,28.817,0.4,9.0,347.0,10.0,1013.0
17,27.822,0.48,13.0,20.0,11.0,1013.0
19,26.422,0.54,12.0,29.0,11.0,1013.0
19,25.156,0.61,9.0,48.0,11.0,1013.0
17,24.0,0.66,9.0,49.0,10.0,1013.0
18,23.028,0.68,8.0,33.0,10.0,1014.0
18,21.061,0.79,10.0,40.0,10.0,1014.0
17,20.922,0.72,11.0,50.0,16.0,1015.0
19,19.567,0.68,7.0,41.0,15.0,1015.0
19,17.178,0.84,7.0,356.0,16.0,1020.0
19,17.594,0.84,7.0,5.0,16.0,1020.0
19,15.439,0.89,4.0,247.0,14.0,1018.0
19,15.511,0.9,8.0,320.0,16.0,1020.0
19,15.494,0.87,3.0,355.0,15.0,1020.0
19,14.378,0.9,6.0,340.0,16.0,1020.0
19,17.067,0.87,8.0,349.0,10.0,1020.0
19,19.8,0.78,9.0,329.0,10.0,1020.0
6,22.45,0.67,8.0,343.0,10.0,1020.0
6,24.844,0.55,2.0,350.0,10.0,1020.0
19,25.994,0.54,3.0,254.0,10.0,1020.0
19,26.883,0.48,4.0,340.0,10.0,1020.0
19,27.711,0.41,5.0,293.0,10.0,1020.0
19,28.706,0.38,5.0,344.0,10.0,1019.0
19,26.344,0.51,8.0,258.0,11.0,1019.0
19,24.189,0.53,11.0,265.0,11.0,1019.0
19,27.311,0.5,8.0,280.0,11.0,1018.0
19,25.228,0.59,10.0,301.0,11.0,1018.0
19,25.206,0.6,5.0,309.0,11.0,1018.0
17,26.206,0.57,1.0,298.0,10.0,1018.0
19,22.828,0.71,1.0,9.0,11.0,1018.0
19,19.117,0.88,3.0,240.0,10.0,1017.0
19,17.917,0.89,3.0,190.0,16.0,1018.0
19,18.133,0.91,9.0,104.0,15.0,1018.0
19,16.667,0.9,3.0,195.0,16.0,1017.0
6,16.667,0.9,3.0,150.0,16.0,1017.0
17,16.344,0.88,2.0,150.0,15.0,1012.0
19,15.511,0.93,3.0,217.0,15.0,1017.0
19,15.439,0.93,3.0,100.0,15.0,1016.0
19,14.211,0.95,3.0,298.0,8.0,1016.0
19,17.111,0.93,3.0,123.0,10.0,1016.0
19,19.867,0.84,3.0,159.0,10.0,1016.0
19,22.106,0.74,5.0,194.0,10.0,1016.0
6,23.961,0.68,5.0,172.0,10.0,1016.0
19,26.139,0.54,8.0,173.0,11.0,1016.0
19,27.089,0.5,9.0,209.0,11.0,1015.0
19,27.244,0.51,4.0,208.0,11.0,1015.0
19,27.267,0.51,10.0,193.0,11.0,1014.0
19,27.85,0.5,11.0,198.0,11.0,1013.0
19,27.194,0.47,13.0,213.0,10.0,1012.0
17,27.75,0.43,13.0,241.0,10.0,1011.0
17,27.817,0.44,13.0,230.0,10.0,1011.0
19,27.733,0.4,11.0,259.0,11.0,1010.0
19,24.906,0.58,9.0,252.0,11.0,1010.0
19,22.178,0.7,6.0,284.0,10.0,1010.0
19,20.0,0.77,12.0,309.0,11.0,1010.0
18,18.867,0.71,20.0,280.0,7.0,1012.0
18,18.439,0.72,9.0,189.0,8.0,1011.0
18,18.333,0.74,6.0,59.0,15.0,1010.0
18,17.578,0.83,6.0,102.0,13.0,1009.0
18,16.806,0.92,9.0,143.0,10.0,1008.0
17,16.6,0.87,6.0,171.0,15.0,1010.0
17,16.139,0.92,3.0,229.0,8.0,1010.0
17,16.133,0.91,3.0,230.0,11.0,1010.0
18,17.111,0.87,5.0,262.0,10.0,1010.0
17,18.683,0.79,11.0,262.0,10.0,1010.0
19,19.75,0.78,12.0,296.0,10.0,1010.0
19,22.011,0.69,10.0,292.0,11.0,1010.0
19,22.589,0.71,10.0,302.0,11.0,1010.0
19,24.439,0.6,13.0,281.0,11.0,1010.0
19,23.656,0.63,14.0,301.0,11.0,1010.0
19,23.772,0.58,17.0,301.0,11.0,1009.0
19,24.844,0.54,14.0,311.0,11.0,1009.0
19,24.839,0.54,16.0,349.0,11.0,1008.0
17,24.811,0.55,12.0,354.0,11.0,1008.0
19,23.778,0.55,13.0,346.0,11.0,1007.0
19,22.611,0.66,14.0,30.0,11.0,1007.0
17,21.039,0.68,14.0,11.0,10.0,1007.0
18,19.744,0.78,9.0,8.0,11.0,1008.0
18,17.822,0.84,17.0,180.0,11.0,1008.0
17,17.239,0.87,5.0,146.0,15.0,1008.0
17,17.189,0.91,3.0,346.0,13.0,1008.0
18,17.194,0.9,9.0,17.0,15.0,1008.0
